STT,Miền,Vùng,Khu vực,Mã NPP,Tên NPP,Mã NV,Tên NV,Mã KH,Tên KH,Số nhà/Khu,Tên đường/Xã/Phường,TP (Tx)/Quận (Huyện),Mã đơn hàng,Trạng thái,Loại đơn,Mã sản phẩm,Tên sản phẩm,Ngày lấy đơn,Số lượng (Lẻ),Hàng bán (Thùng),Hàng bán (Hộp/bịch),Hàng KM (Thùng),Hàng KM (hộp/bịch),Đơn giá lẻ,Đơn giá thùng,Thành tiền,Chiết khấu (Lì xì),"Mã CTKM 
 (Mua hàng/Voucher/Phiếu thu hồi)","Tên CTKM 
 (Mua hàng/Voucher/Phiếu thu hồi)","Số lượng/Điểm trả thưởng 
 (Game/Voucher/Loyalty)","Mã chương trình 
 (Game/Voucher/Loyalty)"," Tên chương trình 
 (Game/Voucher/Loyalty)"
1,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,CM005739,Đã duyệt,Đơn trả,FANC10,Fs.36h,17/06/2024 10:16:46,36,1,0,,,4391,158073,158073,22130,KM4094CKFS36H,KM WCM+ TỪ 18/03-30/06/2024,,,
2,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,CM005739,Đã duyệt,Đơn trả,FANC01,Fa.36h,17/06/2024 10:16:46,36,1,0,,,4391,158073,158073,18969,KM8231CKWCM,KM WCM+ TỪ 03/06-30/06/2024,,,
3,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,CM005739,Đã duyệt,Đơn trả,FAGS02,Gn.36h,17/06/2024 10:16:46,36,1,0,,,5700,205200,205200,34884,KM8231CKWCM,KM WCM+ TỪ 03/06-30/06/2024,,,
4,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005110,Đã duyệt,Đơn bán,FANC01,Fa.36h,01/01/2024 11:56:22,36,1,0,,,4391,158073,158073,0,,,,,
5,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005110,Đã duyệt,Đơn bán,FANC02,Fa.40b,01/01/2024 11:56:22,80,2,0,,,3682,147273,294546,0,,,,,
6,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005154,Đã duyệt,Đơn bán,FACA05,Cl.36h,29/01/2024 16:56:00,36,1,0,,,4555,163963,163963,19675,KM23756N151223,KM WM+ TỪ 01/01-31/03/2024,,,
7,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005154,Đã duyệt,Đơn bán,FACA02,Ca.40b,29/01/2024 16:56:00,40,1,0,,,3780,151200,151200,0,,,,,
8,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005154,Đã duyệt,Đơn bán,FANC04,Fl.36h,29/01/2024 16:56:00,36,1,0,,,4391,158073,158073,0,,,,,
9,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005270,Đã duyệt,Đơn bán,FANC04,Fl.36h,11/03/2024 08:03:31,72,2,0,,,4391,158073,316146,0,,,,,
10,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005270,Đã duyệt,Đơn bán,FACA14,Cs.36h,11/03/2024 08:03:31,36,1,0,,,4555,163963,163963,0,,,,,
11,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005270,Đã duyệt,Đơn bán,FANC04,Fl.36h,11/03/2024 08:03:31,12,,,0,12,4391,158073,0,,KM1360WWCM - N1,KM WCM TỪ 12/02-13/03/2024 - MUA 6 LỐC FI.36H TẶNG 1 LỐC,,,
12,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005270,Đã duyệt,Đơn bán,FACA14,Cs.36h,11/03/2024 08:03:31,6,,,0,6,4555,163963,0,,KM1360WWCM - N3,KM WCM TỪ 12/02-13/03/2024 - MUA 6 LỐC CS.36H TẶNG 1 LỐC,,,
13,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005332,Đã duyệt,Đơn bán,FAGS01,Gl.36h,25/03/2024 08:08:19,36,1,0,,,5700,205200,205200,34884,KM3603WCM,KM WCM TỪ 07/03-27/03/2024,,,
14,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005332,Đã duyệt,Đơn bán,FAGS02,Gn.36h,25/03/2024 08:08:19,36,1,0,,,5700,205200,205200,34884,KM3603WCM,KM WCM TỪ 07/03-27/03/2024,,,
15,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005332,Đã duyệt,Đơn bán,FACA06,Cl.40b,25/03/2024 08:08:19,40,1,0,,,3780,151200,151200,21168,KM4564CKWCM,KM WCM+ TỪ 25/03-27/03/2024,,,
16,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005332,Đã duyệt,Đơn bán,FANC05,Fl.40b,25/03/2024 08:08:19,40,1,0,,,3682,147273,147273,20618,KM4564CKWCM,KM WCM+ TỪ 25/03-27/03/2024,,,
17,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005395,Đã duyệt,Đơn bán,FANC10,Fs.36h,01/04/2024 17:44:44,36,1,0,,,4391,158073,158073,22130,KM4094CKFS36H,KM WCM+ TỪ 18/03-30/06/2024,,,
18,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005395,Đã duyệt,Đơn bán,FANC02,Fa.40b,01/04/2024 17:44:44,40,1,0,,,3682,147273,147273,0,,,,,
19,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C58002559,VMP DNI 408 Đường số 4,,408 Đường số 4-Phường An Bình,Biên Hòa-Tỉnh Đồng Nai,IN005395,Đã duyệt,Đơn bán,FACA01,Ca.36h,01/04/2024 17:44:44,36,1,0,,,4555,163963,163963,0,,,,,
